Year,Quarter,Region,Product,Low,High,Average
1976,Q4,Statewide,Pine Sawtimber,8.13,17.33,12.80
1977,Q1,Statewide,Pine Sawtimber,7.78,16.00,11.56
1977,Q2,Statewide,Pine Sawtimber,9.16,17.56,14.36
1977,Q3,Statewide,Pine Sawtimber,11.78,19.02,16.53
1977,Q4,Statewide,Pine Sawtimber,11.11,19.42,16.76
1978,Q1,Statewide,Pine Sawtimber,11.20,19.69,17.64
1978,Q2,Statewide,Pine Sawtimber,12.22,20.67,19.11
1978,Q3,Statewide,Pine Sawtimber,14.76,22.80,19.73
1978,Q4,Statewide,Pine Sawtimber,15.47,24.22,21.56
1979,Q1,Statewide,Pine Sawtimber,16.89,26.67,23.07
1979,Q2,Statewide,Pine Sawtimber,16.00,27.11,22.00
1979,Q3,Statewide,Pine Sawtimber,13.96,25.56,21.47
1979,Q4,Statewide,Pine Sawtimber,16.44,28.98,24.22
1980,Q1,Statewide,Pine Sawtimber,17.24,27.73,22.76
1980,Q2,Statewide,Pine Sawtimber,16.13,22.53,19.69
1980,Q3,Statewide,Pine Sawtimber,13.38,22.31,18.22
1980,Q4,Statewide,Pine Sawtimber,12.53,21.29,18.58
1981,Q1,Statewide,Pine Sawtimber,13.11,20.76,19.02
1981,Q2,Statewide,Pine Sawtimber,18.22,24.98,23.38
1981,Q3,Statewide,Pine Sawtimber,20.00,27.33,24.31
1981,Q4,Statewide,Pine Sawtimber,19.96,27.87,24.93
1982,Q1,Statewide,Pine Sawtimber,17.69,22.93,20.27
1982,Q2,Statewide,Pine Sawtimber,10.67,21.60,18.22
1982,Q3,Statewide,Pine Sawtimber,12.76,20.00,17.24
1982,Q4,Statewide,Pine Sawtimber,13.82,17.78,15.78
1983,Q1,Statewide,Pine Sawtimber,14.31,19.56,17.51
1983,Q2,Statewide,Pine Sawtimber,18.67,22.76,21.07
1983,Q3,Statewide,Pine Sawtimber,20.13,24.58,22.40
1983,Q4,Statewide,Pine Sawtimber,16.71,22.76,20.13
1984,Q1,Statewide,Pine Sawtimber,15.73,23.29,20.00
1984,Q2,Statewide,Pine Sawtimber,17.78,23.07,20.84
1984,Q3,Statewide,Pine Sawtimber,16.40,20.76,18.44
1984,Q4,Statewide,Pine Sawtimber,15.11,20.58,17.64
1985,Q1,Statewide,Pine Sawtimber,18.22,21.96,20.18
1985,Q2,Statewide,Pine Sawtimber,12.71,16.22,14.49
1985,Q3,Statewide,Pine Sawtimber,12.04,18.53,15.29
1985,Q4,Statewide,Pine Sawtimber,14.89,18.22,16.98
1986,Q1,Statewide,Pine Sawtimber,15.87,20.00,18.09
1986,Q2,Statewide,Pine Sawtimber,13.56,17.56,16.04
1986,Q3,Statewide,Pine Sawtimber,10.40,15.56,13.07
1986,Q4,Statewide,Pine Sawtimber,9.47,16.13,12.53
1987,Q1,Statewide,Pine Sawtimber,11.38,18.04,14.84
1987,Q2,Statewide,Pine Sawtimber,10.71,16.53,14.09
1987,Q3,Statewide,Pine Sawtimber,13.11,17.51,15.56
1987,Q4,Statewide,Pine Sawtimber,14.22,18.98,16.53
1988,Q1,Statewide,Pine Sawtimber,16.40,22.80,19.60
1988,Q2,Statewide,Pine Sawtimber,13.87,17.60,15.60
1988,Q3,Statewide,Pine Sawtimber,14.67,18.27,16.53
1988,Q4,Statewide,Pine Sawtimber,16.53,19.73,18.13
1989,Q1,Statewide,Pine Sawtimber,16.53,21.73,19.73
1989,Q2,Statewide,Pine Sawtimber,16.27,20.27,18.00
1989,Q3,Statewide,Pine Sawtimber,19.20,21.73,20.53
1989,Q4,Statewide,Pine Sawtimber,18.67,27.20,22.93
1990,Q1,Statewide,Pine Sawtimber,18.27,23.87,20.93
1990,Q2,Statewide,Pine Sawtimber,17.33,22.13,19.87
1990,Q3,Statewide,Pine Sawtimber,16.93,20.53,18.80
1990,Q4,Statewide,Pine Sawtimber,16.67,22.93,19.73
1991,Q1,Statewide,Pine Sawtimber,16.27,22.27,19.33
1991,Q2,Statewide,Pine Sawtimber,18.40,19.47,19.07
1991,Q3,Statewide,Pine Sawtimber,19.20,21.60,20.40
1991,Q4,Statewide,Pine Sawtimber,19.07,23.73,21.47
1992,Q1,Statewide,Pine Sawtimber,19.73,26.40,23.07
1992,Q2,Statewide,Pine Sawtimber,20.93,29.47,25.20
1992,Q3,Statewide,Pine Sawtimber,23.07,24.40,23.73
1992,Q4,Statewide,Pine Sawtimber,22.00,31.47,26.67
1993,Q1,Statewide,Pine Sawtimber,25.20,37.60,31.33
1993,Q2,Statewide,Pine Sawtimber,25.33,34.40,29.87
1993,Q3,Statewide,Pine Sawtimber,21.73,28.40,25.07
1993,Q4,Statewide,Pine Sawtimber,32.53,43.87,38.13
1994,Q1,Statewide,Pine Sawtimber,33.60,51.33,42.53
1994,Q2,Statewide,Pine Sawtimber,31.20,48.53,39.87
1994,Q3,Statewide,Pine Sawtimber,34.13,51.33,42.67
1994,Q4,Statewide,Pine Sawtimber,34.13,50.13,42.13
1995,Q1,Statewide,Pine Sawtimber,38.93,49.33,44.13
1995,Q2,Statewide,Pine Sawtimber,43.07,59.20,51.20
1995,Q3,Statewide,Pine Sawtimber,35.87,43.87,39.87
1995,Q4,Statewide,Pine Sawtimber,34.13,43.33,38.67
1996,Q1,Statewide,Pine Sawtimber,27.73,42.67,35.20
1996,Q2,Statewide,Pine Sawtimber,28.67,35.47,32.00
1996,Q3,Statewide,Pine Sawtimber,27.47,43.60,35.60
1996,Q4,Statewide,Pine Sawtimber,37.65,45.55,41.60
1997,Q1,Statewide,Pine Sawtimber,40.10,54.75,47.43
1997,Q2,Statewide,Pine Sawtimber,36.85,47.70,42.28
1997,Q3,Statewide,Pine Sawtimber,39.10,54.55,46.83
1997,Q4,Statewide,Pine Sawtimber,36.85,58.75,47.80
1998,Q1,Statewide,Pine Sawtimber,50.40,62.25,56.33
1998,Q2,Statewide,Pine Sawtimber,38.00,50.55,44.28
1998,Q3,Statewide,Pine Sawtimber,37.65,48.15,42.90
1998,Q4,Statewide,Pine Sawtimber,41.60,53.45,47.53
1999,Q1,Statewide,Pine Sawtimber,40.30,54.70,47.50
1999,Q2,Statewide,Pine Sawtimber,40.13,51.33,45.73
1999,Q3,Statewide,Pine Sawtimber,42.27,57.87,50.13
1999,Q4,Statewide,Pine Sawtimber,43.33,56.27,49.73
2000,Q1,Statewide,Pine Sawtimber,43.07,61.87,52.53
2000,Q2,Statewide,Pine Sawtimber,40.40,54.40,47.47
2000,Q3,Statewide,Pine Sawtimber,39.33,51.33,45.33
2000,Q4,Statewide,Pine Sawtimber,36.40,43.33,39.87
2001,Q1,Statewide,Pine Sawtimber,36.93,48.27,42.67
2001,Q2,Statewide,Pine Sawtimber,35.07,44.53,39.87
2001,Q3,Statewide,Pine Sawtimber,35.73,44.67,40.27
2001,Q4,Statewide,Pine Sawtimber,38.80,48.13,43.47
2002,Q1,Statewide,Pine Sawtimber,38.93,50.67,44.80
2002,Q2,Statewide,Pine Sawtimber,39.33,50.13,44.67
2002,Q3,Statewide,Pine Sawtimber,37.87,46.00,42.00
2002,Q4,Statewide,Pine Sawtimber,39.73,54.27,47.07
2003,Q1,Statewide,Pine Sawtimber,40.38,51.33,45.85
2003,Q2,Statewide,Pine Sawtimber,37.06,45.64,41.35
2003,Q3,Statewide,Pine Sawtimber,35.07,48.14,41.61
2003,Q4,Statewide,Pine Sawtimber,40.74,55.52,48.13
2004,Q1,Statewide,Pine Sawtimber,39.07,58.69,48.88
2004,Q2,Statewide,Pine Sawtimber,36.32,48.99,42.65
2004,Q3,Statewide,Pine Sawtimber,38.89,53.50,46.19
2004,Q4,Statewide,Pine Sawtimber,40.94,55.60,48.27
2005,Q1,Statewide,Pine Sawtimber,39.37,56.19,47.78
2005,Q2,Statewide,Pine Sawtimber,40.22,48.40,44.31
2005,Q3,Statewide,Pine Sawtimber,37.61,45.35,41.48
2005,Q4,Statewide,Pine Sawtimber,36.66,44.39,40.52
2006,Q1,Statewide,Pine Sawtimber,38.44,55.09,46.76
2006,Q2,Statewide,Pine Sawtimber,34.93,43.49,39.21
2006,Q3,Statewide,Pine Sawtimber,35.11,44.76,39.93
2006,Q4,Statewide,Pine Sawtimber,35.45,42.97,39.21
2007,Q1,Statewide,Pine Sawtimber,35.40,46.49,40.94
2007,Q2,Statewide,Pine Sawtimber,32.77,42.58,37.67
2007,Q3,Statewide,Pine Sawtimber,34.40,42.39,38.39
2007,Q4,Statewide,Pine Sawtimber,32.78,41.32,37.05
2008,Q1,Statewide,Pine Sawtimber,30.48,39.98,35.23
2008,Q2,Statewide,Pine Sawtimber,26.69,37.57,32.13
2008,Q3,Statewide,Pine Sawtimber,27.80,38.99,33.39
